Name,3_letter,1_letter,Mol_Formula,Mol_Weight,Res_Formula,Res_Weight,Fun_weight,pKa,pKb,pKx,pI,Eisenberg,Engleman,Kyte,Hoop,Janin
Alanine,Ala,A,C3H7NO2,89.0477,C3H5NO,71.0371,14.0157,2.34,9.69,na,6,0.25,1.6,1.8,-0.5,0.3
Arginine,Arg,R,C6H14N4O2,174.1117,C6H12N4O,156.1011,99.0796,2.17,9.04,12.48,10.76,-1.8,-12.3,-4.5,3,-1.4
Asparagine,Asn,N,C4H8N2O3,132.0535,C4H6N2O2,114.0429,57.0215,2.02,8.8,na,5.41,-0.64,-4.8,-3.5,0.2,-0.5
Aspartic Acid,Asp,D,C4H7NO4,115.0269,C4H5NO3,97.0164,39.9949,1.88,9.6,3.65,2.77,-0.72,-9.2,-3.5,3,-0.6
Cystine,Cys,C,C3H7NO2S,121.0197,C3H5NOS,103.0092,45.9877,1.96,10.28,8.18,5.07,0.04,2,2.5,-1,0.9
Glutamic Acid,Glu,E,C5H9NO4,147.0532,C5H7NO3,129.0426,72.0211,2.19,9.67,4.25,3.22,-0.62,-8.2,-3.5,3,-0.7
Glutamine,Gln,Q,C5H10N2O3,146.0691,C5H8N2O2,128.0586,71.0371,2.17,9.13,na,5.65,-0.69,-4.1,-3.5,0.2,-0.7
Glycine,Gly,G,C2H5NO2,75.032,C2H3NO,57.0215,0,2.34,9.6,na,5.97,0.16,1,-0.4,0,0.3
Histidine,His,H,C6H9N3O2,155.0695,C6H7N3O,137.0589,80.0374,1.82,9.17,6,7.59,-0.4,-3,-3.2,-0.5,-0.1
Hydroxyproline,Hyp,O,C5H9NO3,131.0582,C5H7NO2,113.0477,56.0262,1.82,9.65,na,na,na,na,na,na,na
Isoleucine,Ile,I,C6H13NO2,131.0946,C6H11NO,113.0841,56.0626,2.36,9.6,na,6.02,0.73,3.1,4.5,-1.8,0.7
Leucine,Leu,L,C6H13NO2,131.0946,C6H11NO,113.0841,56.0626,2.36,9.6,na,5.98,0.53,2.8,3.8,-1.8,0.5
Lysine,Lys,K,C6H14N2O2,146.1055,C6H12N2O,128.095,71.0735,2.18,8.95,10.53,9.74,-1.1,-8.8,-3.9,3,-1.8
Methonine,Met,M,C5H11NO2S,149.051,C5H9NOS,131.0405,74.019,2.28,9.21,na,5.74,0.26,3.4,1.9,-1.3,0.4
Phenylalanine,Phe,F,C9H11NO2,165.079,C9H9NO,147.0684,90.047,1.83,9.13,na,5.48,0.61,3.7,2.8,-2.5,0.5
Proline,Pro,P,C5H9NO2,115.0633,C5H7NO,97.0528,40.0313,1.99,10.6,na,6.3,-0.07,-0.2,-1.6,0,-0.3
Pyroglutamine,Glp,U,C5H7NO3,129.0426,C5H5NO2,111.032,54.0106,na,na,na,5.68,na,na,na,na,na
Serine,Ser,S,C3H7NO3,105.0426,C3H5NO2,87.032,30.0106,2.21,9.15,na,5.68,-0.26,0.6,-0.8,0.3,-0.1
Threonine,Thr,T,C4H9NO3,119.0582,C4H7NO2,101.0477,44.0262,2.09,9.1,na,5.6,-0.18,1.2,-0.7,-0.4,-0.2
Tryptophan,Trp,W,C11H12N2O2,204.0899,C11H10N2O,186.0793,129.0578,2.83,9.39,na,5.89,0.37,1.9,-0.9,-3.4,0.3
Tyrosine,Tyr,Y,C9H11NO3,181.0739,C9H9NO2,163.0633,106.0419,2.2,9.11,10.07,5.66,0.02,-0.7,-1.3,-2.3,-0.4
Valine,Val,V,C5H11NO2,117.079,C5H9NO,99.0684,42.047,2.32,9.62,na,5.96,0.54,2.6,4.2,-1.5,0.6
