"atomic_no","atomic_sym","mass_no","atomic_mass","isotope_ratio"
"1","H","1","1.00782503214","99.9885"
"2","He","4","4.002603249710","99.999863"
"3","Li","7","7.01600405","92.41"
"4","Be","9","9.01218214","100"
"5","B","11","11.00930555","80.1"
"6","C","12","12.00000000","98.93"
"7","N","14","14.00307400529","99.632"
"8","O","16","15.994914622115","99.757"
"9","F","19","18.998403207","100"
"10","Ne","20","19.992440175920","90.48"
"11","Na","23","22.9897696723","100"
"12","Mg","24","23.9850419020","78.99"
"13","Al","27","26.9815384414","100"
"14","Si","28","27.976926532720","92.2297"
"15","P","31","30.9737615120","100"
"16","S","32","31.9720706912","94.93"
"17","Cl","35","34.968852714","75.78"
"18","Ar","40","39.9623831233","99.6003"
"19","K","39","38.96370693","93.2581"
"20","Ca","40","39.96259123","96.941"
"21","Sc","45","44.955910212","100"
"22","Ti","48","47.947947110","73.72"
"23","V","51","50.943963714","99.750"
"24","Cr","52","51.940511915","83.789"
"25","Mn","55","54.938049614","100"
"26","Fe","56","55.934942115","91.754"
"27","Co","59","58.933200215","100"
"28","Ni","58","57.935347915","68.0769"
"29","Cu","63","62.929601115","69.17"
"31","Ga","69","68.9255813","60.108"
"33","As","75","74.921596418","100"
"35","Br","79","78.918337620","50.69"
"36","Kr","84","83.9115073","57.00"
"37","Rb","85","84.911789325","72.17"
"38","Sr","88","87.905614324","82.58"
"39","Y","89","88.905847925","100"
"40","Zr","90","89.904703723","51.45"
"41","Nb","93","92.906377524","100"
"45","Rh","103","102.9055043","100"
"47","Ag","107","106.9050936","51.839"
"49","In","115","114.9038785","95.71"
"51","Sb","121","120.903818024","57.21"
"53","I","127","126.9044684","100"
"55","Cs","133","132.9054473","100"
"56","Ba","138","137.9052413","71.698"
"57","La","139","138.9063483","99.910"
"58","Ce","140","139.9054343","88.450"
"59","Pr","141","140.9076483","100"
"63","Eu","153","152.9212263","52.19"
"65","Tb","159","158.9253433","100"
"67","Ho","165","164.9303193","100"
"69","Tm","169","168.9342113","100"
"71","Lu","175","174.940767928","97.41"
"73","Ta","181","180.9479963","99.988"
"75","Re","187","186.955750830","62.60"
"77","Ir","193","192.9629243","62.7"
"79","Au","197","196.9665523","100"
"81","Tl","205","204.9744123","70.476"
"82","Pb","208","207.9766363","52.4"
"83","Bi","209","208.9803833","100"
"90","Th","232","232.038050422","100"
"91","Pa","231","231.035878928","100"
"92","U","238","238.050782621","99.2745"
